part	text_index	letter	down_ms	up_ms	actual_down_ms	actual_up_ms
0	69	/	56830.17	56910.66	56834.17	56915.41
0	69	/	56987.13	57067.83	56991.36	57071.55
0	69	/	57141.03	57410.63	57145.12	57414.16
0	69	/	57486.90	57564.79	57490.85	57568.77
0	70	P	57837.97	57910.28	57842.18	57914.88
0	70	P	57972.73	58209.02	57976.80	58213.05
0	70	P	58285.54	58529.31	58289.35	58533.77
0	70	P	58603.96	58682.40	58608.27	58685.97
0	72	=	59259.69	59502.65	59263.94	59506.58
0	72	=	59589.45	59668.80	59593.80	59672.50
0	72	=	59740.63	59824.23	59744.90	59828.32
0	72	=	59905.82	59988.99	59909.53	59993.01
0	72	=	60060.90	60310.79	60065.10	60314.89
0	74	N	61003.47	61271.47	61007.17	61275.75
0	74	N	61341.40	61412.27	61345.49	61415.80
0	75	R	61701.81	61780.92	61705.72	61784.99
0	75	R	61857.55	62076.88	61861.99	62080.53
0	75	R	62155.56	62239.23	62159.72	62242.84
0	77	3	62846.42	62931.79	62850.77	62936.10
0	77	3	63013.53	63085.33	63017.32	63090.02
0	77	3	63157.47	63240.38	63161.37	63244.48
0	77	3	63322.62	63557.71	63326.30	63561.61
0	77	3	63636.50	63874.98	63641.00	63878.75
0	79	6	64545.53	64806.36	64549.77	64810.45
0	79	6	64886.81	64963.04	64891.02	64967.23
0	79	6	65045.88	65125.88	65049.73	65129.56
0	79	6	65205.23	65276.07	65209.07	65279.85
0	79	6	65356.69	65436.51	65360.75	65440.49
0	80	7	65702.89	65941.22	65707.29	65945.08
0	80	7	66027.95	66269.79	66032.19	66274.09
0	80	7	66349.05	66439.05	66352.82	66442.95
0	80	7	66527.88	66616.41	66531.53	66620.68
0	80	7	66688.32	66775.58	66692.63	66779.44
0	81	6	67068.67	67316.56	67073.13	67320.97
0	81	6	67391.21	67466.98	67394.97	67471.02
0	81	6	67534.50	67623.14	67538.48	67626.92
0	81	6	67699.18	67772.98	67703.54	67776.94
0	81	6	67854.29	67928.43	67858.63	67932.47
0	83	1	68567.58	68640.54	68571.64	68644.18
0	83	1	68712.62	68979.57	68716.95	68983.95
0	83	1	69040.75	69266.02	69044.95	69270.15
0	83	1	69341.68	69565.69	69345.78	69569.79
0	83	1	69623.42	69866.77	69627.23	69870.81
0	84	0	70137.13	70391.34	70140.72	70395.42
0	84	0	70466.91	70685.58	70471.16	70689.65
0	84	0	70759.49	70976.73	70763.96	70980.97
0	84	0	71051.01	71287.84	71055.20	71291.83
0	84	0	71364.34	71600.99	71368.62	71605.65
0	85	4	71862.01	71933.06	71865.61	71937.15
0	85	4	72007.86	72078.17	72012.29	72082.28
0	85	4	72144.07	72222.23	72148.16	72225.73
0	85	4	72300.37	72375.46	72304.38	72379.09
0	85	4	72452.67	72686.23	72456.45	72690.41
0	86	6	73009.90	73298.34	73013.97	73301.84
0	86	6	73381.50	73448.65	73385.23	73453.35
0	86	6	73523.16	73603.73	73527.53	73607.85
0	86	6	73678.97	73753.12	73683.33	73757.22
0	86	6	73825.47	73904.74	73829.31	73908.90
0	88	=	74526.52	74777.88	74530.20	74781.45
0	88	=	74869.73	74945.24	74873.26	74948.86
0	88	=	75011.10	75088.84	75014.92	75092.55
0	88	=	75161.42	75255.17	75165.06	75258.85
0	88	=	75327.75	75575.35	75331.36	75579.63
0	90	D	76163.33	76413.13	76167.42	76417.15
