"prefix","owner_country","status","source","candidates","dxcc_examples"
"8S","Sweden","resolved","ng3k-direct","Sweden","Sweden"
"8T","India","resolved","ng3k-direct","India","India"
"8U","India","resolved","ng3k-direct","India","India"
"8V","India","resolved","ng3k-direct","India","India"
"8W","India","resolved","ng3k-direct","India","India"
"8X","India","resolved","ng3k-direct","India","India"
"8Y","India","resolved","ng3k-direct","India","India"
"8Z","Saudi Arabia","resolved","ng3k-direct","Saudi Arabia","Saudi Arabia"
"9A","Croatia","resolved","ng3k-direct","Croatia","Croatia"
"9B","Iran","resolved","ng3k-direct","Iran","Iran"
"9C","Iran","resolved","ng3k-direct","Iran","Iran"
"9D","Iran","resolved","ng3k-direct","Iran","Iran"
"9E","Ethiopia","resolved","ng3k-direct","Ethiopia","Ethiopia"
